#Position (bp)	Coverage
3865969.5	1.1122696534814428E-5
1.15979075E7	0.0
1.93298455E7	1.7848047927958036E-5
2.70617835E7	5.949349309319345E-6
3.47937215E7	2.9746746546596727E-5
4.25256595E7	5.561348267407214E-6
5.02575975E7	2.379739723727738E-5
5.79895355E7	1.189869861863869E-5
6.57214735E7	1.189869861863869E-5
7.34534115E7	1.189869861863869E-5
8.11853495E7	0.0
8.89172875E7	0.0
9.66492255E7	2.379739723727738E-5
1.043811635E8	5.949349309319345E-6
1.121131015E8	5.949349309319345E-6
1.198450395E8	0.0
1.275769775E8	0.0
1.353089155E8	0.0
1.430408535E8	5.949349309319345E-6
1.507727915E8	1.189869861863869E-5
1.585047295E8	2.379739723727738E-5
1.662366675E8	9.829359728440658E-6
1.739686055E8	2.871207710149771E-5
1.817005435E8	1.7848047927958036E-5
1.894324815E8	1.7848047927958036E-5
1.971644195E8	1.189869861863869E-5
2.048963575E8	2.948807918532197E-5
2.126282955E8	3.492009377209181E-5
2.203602335E8	1.189869861863869E-5
2.280921715E8	1.771871424732066E-5
2.358241095E8	1.189869861863869E-5
2.435560475E8	1.7848047927958036E-5
2.481892195E8	0.0
2.520551885E8	1.4844618793416476E-5
2.590199235E8	1.7848047927958036E-5
2.667518615E8	0.0
2.744837995E8	0.0
2.822157375E8	1.189869861863869E-5
2.899476755E8	1.189869861863869E-5
2.976796135E8	0.0
3.054115515E8	1.189869861863869E-5
3.131434895E8	5.949349309319345E-6
3.208754275E8	0.0
3.286073655E8	0.0
3.363393035E8	1.189869861863869E-5
3.440712415E8	5.949349309319345E-6
3.518031795E8	2.379739723727738E-5
3.595351175E8	1.7848047927958036E-5
3.672670555E8	0.0
3.749989935E8	5.949349309319345E-6
3.827309315E8	0.0
3.904628695E8	0.0
3.981948075E8	5.949349309319345E-6
4.059267455E8	0.0
4.136586835E8	1.1640031257363936E-5
4.213906215E8	1.7460046886045904E-5
4.291225595E8	5.949349309319345E-6
4.368544975E8	1.189869861863869E-5
4.445864355E8	5.949349309319345E-6
4.523183735E8	0.0
4.600503115E8	5.30268090613246E-6
4.677822495E8	1.189869861863869E-5
4.755141875E8	2.379739723727738E-5
4.832461255E8	5.949349309319345E-6
4.89131023E8	1.1392181545805114E-5
4.92996992E8	0.0
4.987100015E8	1.189869861863869E-5
5.064419395E8	2.379739723727738E-5
5.141738775E8	1.189869861863869E-5
5.219058155E8	5.949349309319345E-6
5.296377535E8	1.189869861863869E-5
5.373696915E8	5.949349309319345E-6
5.451016295E8	1.189869861863869E-5
5.528335675E8	2.379739723727738E-5
5.605655055E8	0.0
5.682974435E8	5.949349309319345E-6
5.760293815E8	2.340939619536525E-5
5.837613195E8	1.189869861863869E-5
5.914932575E8	3.543742849464132E-5
5.992251955E8	5.173347225495083E-6
6.069571335E8	5.949349309319345E-6
6.146890715E8	1.7848047927958036E-5
6.224210095E8	1.7848047927958036E-5
6.301529475E8	2.3538729876002627E-5
6.378848855E8	1.7848047927958036E-5
6.456168235E8	1.7848047927958036E-5
6.533487615E8	5.949349309319345E-6
6.610806995E8	2.9746746546596727E-5
6.688126375E8	2.8841410782135087E-5
6.765445755E8	3.4661426410817055E-5
6.842765135E8	3.4790760091454435E-5
6.887939965E8	0.0
6.926599655E8	2.1465536148429515E-5
6.997403895E8	5.949349309319345E-6
7.074723275E8	1.7848047927958036E-5
7.152042655E8	5.949349309319345E-6
7.229362035E8	5.949349309319345E-6
7.306681415E8	1.189869861863869E-5
7.384000795E8	0.0
7.461320175E8	2.379739723727738E-5
7.538639555E8	5.949349309319345E-6
7.615958935E8	5.949349309319345E-6
7.693278315E8	1.189869861863869E-5
7.770597695E8	1.189869861863869E-5
7.847917075E8	5.949349309319345E-6
7.925236455E8	5.949349309319345E-6
8.002555835E8	5.949349309319345E-6
8.079875215E8	0.0
8.157194595E8	5.044013544857706E-6
8.234513975E8	2.379739723727738E-5
8.311833355E8	2.3538729876002627E-5
8.389152735E8	1.7848047927958036E-5
8.466472115E8	1.189869861863869E-5
8.543791495E8	1.189869861863869E-5
8.621110875E8	2.379739723727738E-5
8.698430255E8	1.189869861863869E-5
8.7668453E8	3.730420961201774E-5
8.80550499E8	2.2460969853447788E-5
8.853069015E8	2.379739723727738E-5
8.930388395E8	0.0
9.007707775E8	1.7848047927958036E-5
9.085027155E8	0.0
9.162346535E8	0.0
9.239665915E8	1.189869861863869E-5
9.316985295E8	2.302139515345312E-5
9.394304675E8	1.1122696534814428E-5
9.471624055E8	1.7072045844133772E-5
9.548943435E8	2.8970744462772464E-5
9.626262815E8	1.7848047927958036E-5
9.703582195E8	5.949349309319345E-6
9.780901575E8	5.949349309319345E-6
9.858220955E8	5.949349309319345E-6
9.935540335E8	1.189869861863869E-5
1.0012859715E9	5.949349309319345E-6
1.0090179095E9	1.189869861863869E-5
1.0167498475E9	1.6942712163496396E-5
1.0244817855E9	1.7848047927958036E-5
1.0322137235E9	1.189869861863869E-5
1.0399456615E9	1.7848047927958036E-5
1.0476775995E9	3.569609585591607E-5
1.0554095375E9	1.189869861863869E-5
1.0602369155E9	0.0
1.0641028845E9	3.0469330983006033E-5
1.0708734135E9	2.2892061472815743E-5
1.0786053515E9	2.3538729876002627E-5
1.0863372895E9	1.189869861863869E-5
1.0940692275E9	1.1122696534814428E-5
1.1018011655E9	5.949349309319345E-6
1.1095331035E9	2.302139515345312E-5
1.1172650415E9	5.949349309319345E-6
1.1249969795E9	0.0
1.1327289175E9	1.189869861863869E-5
1.1404608555E9	1.7848047927958036E-5
1.1481927935E9	5.949349309319345E-6
1.1559247315E9	1.7848047927958036E-5
1.1636566695E9	5.949349309319345E-6
1.1713886075E9	1.7848047927958036E-5
1.1791205455E9	0.0
1.1868524835E9	0.0
1.1945844215E9	1.189869861863869E-5
1.2023163595E9	2.9746746546596727E-5
1.2100482975E9	5.949349309319345E-6
1.2177802355E9	5.949349309319345E-6
1.2255121735E9	5.949349309319345E-6
1.230691223E9	1.7516062419630784E-5
1.234557192E9	2.7028207459902772E-5
1.2409760495E9	1.189869861863869E-5
1.2487079875E9	1.189869861863869E-5
1.2564399255E9	1.7848047927958036E-5
1.2641718635E9	5.949349309319345E-6
1.2719038015E9	1.189869861863869E-5
1.2796357395E9	2.379739723727738E-5
1.2873676775E9	5.044013544857706E-6
1.2950996155E9	1.189869861863869E-5
1.3028315535E9	2.379739723727738E-5
1.3105634915E9	1.189869861863869E-5
1.3182954295E9	1.7848047927958036E-5
1.3260273675E9	1.189869861863869E-5
1.3337593055E9	5.949349309319345E-6
1.3414912435E9	0.0
1.3492231815E9	5.949349309319345E-6
1.3569551195E9	1.7848047927958036E-5
1.3646870575E9	5.949349309319345E-6
1.3724189955E9	2.9746746546596727E-5
1.3801509335E9	2.379739723727738E-5
1.3876835895E9	1.2545384975592408E-5
1.3915495585E9	0.0
1.3956148095E9	0.0
1.4033467475E9	1.189869861863869E-5
1.4110786855E9	1.7848047927958036E-5
1.4188106235E9	1.7848047927958036E-5
1.4265425615E9	3.530809481400394E-5
1.4342744995E9	2.302139515345312E-5
1.4420064375E9	2.9746746546596727E-5
1.4497383755E9	1.7848047927958036E-5
1.4574703135E9	3.569609585591607E-5
1.4652022515E9	1.7848047927958036E-5
1.4729341895E9	3.492009377209181E-5
1.4806661275E9	1.189869861863869E-5
1.4883980655E9	2.379739723727738E-5
1.4961300035E9	5.949349309319345E-6
1.5038619415E9	0.0
1.5115938795E9	2.379739723727738E-5
1.5193258175E9	1.6942712163496396E-5
1.5270577555E9	1.7848047927958036E-5
1.5337063185E9	1.6531337306125147E-5
1.5375722875E9	0.0
1.5425216315E9	1.189869861863869E-5
1.5502535695E9	0.0
1.5579855075E9	1.189869861863869E-5
1.5657174455E9	1.7848047927958036E-5
1.5734493835E9	1.7848047927958036E-5
1.5811813215E9	0.0
1.5889132595E9	0.0
1.5966451975E9	0.0
1.6043771355E9	5.949349309319345E-6
1.6121090735E9	1.7848047927958036E-5
1.6198410115E9	0.0
1.6275729495E9	0.0
1.6353048875E9	1.189869861863869E-5
1.6430368255E9	2.379739723727738E-5
1.6507687635E9	4.746546079391739E-5
1.6585007015E9	1.7848047927958036E-5
1.6662326395E9	1.189869861863869E-5
1.672491119E9	1.7136810893828887E-5
1.676357088E9	0.0
1.6816965155E9	2.302139515345312E-5
1.6894284535E9	1.6942712163496396E-5
1.6971603915E9	1.189869861863869E-5
1.7048923295E9	2.379739723727738E-5
1.7126242675E9	0.0
1.7203562055E9	4.074010940077378E-5
1.7280881435E9	2.9746746546596727E-5
1.7358200815E9	1.189869861863869E-5
1.7435520195E9	1.189869861863869E-5
1.7512839575E9	2.9746746546596727E-5
1.7590158955E9	1.7848047927958036E-5
1.7667478335E9	2.9746746546596727E-5
1.7744797715E9	2.9746746546596727E-5
1.7822117095E9	0.0
1.7899436475E9	1.189869861863869E-5
1.7976755855E9	5.949349309319345E-6
1.805111303E9	6.443030930610378E-6
1.808977272E9	0.0
1.8131394615E9	1.7589380566683283E-5
1.8208713995E9	1.189869861863869E-5
1.8286033375E9	2.379739723727738E-5
1.8363352755E9	0.0
1.8440672135E9	1.7848047927958036E-5
1.8517991515E9	5.949349309319345E-6
1.8595310895E9	0.0
1.8672630275E9	5.949349309319345E-6
1.8749949655E9	2.9746746546596727E-5
1.8827269035E9	5.949349309319345E-6
1.8904588415E9	1.1122696534814428E-5
1.8981907795E9	1.1769364938001314E-5
1.9059227175E9	2.302139515345312E-5
1.9136546555E9	1.7848047927958036E-5
1.9213865935E9	0.0
1.9291185315E9	1.7848047927958036E-5
1.9368504695E9	3.4790760091454435E-5
1.942242056E9	1.507586272443781E-5
1.946108025E9	9.827583591610064E-6
1.9523143455E9	0.0
1.9600462835E9	1.189869861863869E-5
1.9677782215E9	5.820015628681968E-6
1.9755101595E9	1.7848047927958036E-5
1.9832420975E9	0.0
1.9909740355E9	2.9746746546596727E-5
1.9987059735E9	1.189869861863869E-5
2.0064379115E9	5.949349309319345E-6
2.0141698495E9	0.0
2.0219017875E9	3.569609585591607E-5
2.0296337255E9	1.681337848285902E-5
2.0373656635E9	1.7848047927958036E-5
2.0450976015E9	2.302139515345312E-5
2.0528295395E9	2.9746746546596727E-5
2.0605614775E9	1.189869861863869E-5
2.0682934155E9	1.7072045844133772E-5
2.0746011835E9	2.8257854147700117E-5
2.0784671525E9	0.0
2.0837572915E9	0.0
2.0914892295E9	0.0
2.0992211675E9	1.7848047927958036E-5
2.1069531055E9	5.044013544857706E-6
2.1146850435E9	1.189869861863869E-5
2.1224169815E9	5.044013544857706E-6
2.1301489195E9	5.949349309319345E-6
2.1378808575E9	5.044013544857706E-6
2.1456127955E9	5.949349309319345E-6
2.1533447335E9	1.7848047927958036E-5
2.1610766715E9	0.0
2.1688086095E9	2.9746746546596727E-5
2.1765405475E9	2.3538729876002627E-5
2.1842724855E9	2.379739723727738E-5
2.1897728825E9	0.0
2.1936388515E9	0.0
2.1997363615E9	0.0
2.2074682995E9	0.0
2.2152002375E9	0.0
2.2229321755E9	1.7330713205408528E-5
2.2306641135E9	0.0
2.2383960515E9	4.074010940077378E-5
2.2461279895E9	1.1769364938001314E-5
2.2538599275E9	5.949349309319345E-6
2.2615918655E9	2.379739723727738E-5
2.2693238035E9	1.189869861863869E-5
2.2770557415E9	5.949349309319345E-6
2.2847876795E9	2.9876080227234103E-5
2.2925196175E9	2.379739723727738E-5
2.2974183075E9	2.2271262034954262E-5
2.3012842765E9	0.0
2.3079834935E9	0.0
2.3157154315E9	0.0
2.3234473695E9	1.189869861863869E-5
2.3311793075E9	5.949349309319345E-6
2.3389112455E9	1.7848047927958036E-5
2.3466431835E9	5.949349309319345E-6
2.3543751215E9	1.7848047927958036E-5
2.3621070595E9	1.189869861863869E-5
2.3698389975E9	1.189869861863869E-5
2.3775709355E9	1.189869861863869E-5
2.3853028735E9	1.7848047927958036E-5
2.3930348115E9	5.949349309319345E-6
2.398671499E9	2.5978155195193364E-5
2.402537468E9	2.1954415474426568E-5
2.4084986875E9	1.189869861863869E-5
2.4162306255E9	1.189869861863869E-5
2.4239625635E9	5.949349309319345E-6
2.4316945015E9	5.949349309319345E-6
2.4394264395E9	0.0
2.4471583775E9	5.949349309319345E-6
2.4548903155E9	1.1122696534814428E-5
2.4626222535E9	1.189869861863869E-5
2.4703541915E9	2.8065408698310824E-5
2.4780861295E9	1.7848047927958036E-5
2.4858180675E9	2.9746746546596727E-5
2.4902322995E9	0.0
2.4940982685E9	0.0
2.5012819435E9	1.7848047927958036E-5
2.5090138815E9	0.0
2.5167458195E9	1.189869861863869E-5
2.5244777575E9	2.379739723727738E-5
2.5322096955E9	5.949349309319345E-6
2.5399416335E9	2.3280062514727872E-5
2.5476735715E9	1.7848047927958036E-5
2.5554055095E9	2.379739723727738E-5
2.5631374475E9	1.189869861863869E-5
2.57052071E9	4.4352283936498335E-5
2.574386679E9	0.0
2.5786013235E9	0.0
2.5863332615E9	0.0
2.5940651995E9	5.949349309319345E-6
2.6017971375E9	0.0
2.6095290755E9	1.189869861863869E-5
2.6172610135E9	1.189869861863869E-5
2.6249929515E9	1.189869861863869E-5
2.6327248895E9	0.0
2.6404568275E9	1.189869861863869E-5
2.6481887655E9	0.0
2.6532330115E9	1.9520027973048783E-5
2.6570989805E9	8.557528169150334E-6
2.6636526415E9	1.7848047927958036E-5
2.6713845795E9	1.189869861863869E-5
2.6791165175E9	0.0
2.6868484555E9	2.8970744462772464E-5
2.6945803935E9	1.7848047927958036E-5
2.7023123315E9	1.7848047927958036E-5
2.7096036025E9	6.7147363940464224E-6
2.7134695715E9	0.0
2.7177762075E9	1.7848047927958036E-5
2.7255081455E9	3.556676217527869E-5
2.7332400835E9	1.189869861863869E-5
2.7409720215E9	5.173347225495083E-6
2.7487039595E9	2.379739723727738E-5
2.7564358975E9	1.7848047927958036E-5
2.7641678355E9	1.189869861863869E-5
2.7718997735E9	1.189869861863869E-5
2.776619407E9	2.4599828152629046E-5
2.780485376E9	0.0
2.7873636495E9	5.949349309319345E-6
2.7950955875E9	5.949349309319345E-6
2.8028275255E9	1.1640031257363936E-5
2.8105594635E9	5.432014586769837E-6
2.8182914015E9	5.263880801941247E-5
2.8231702125E9	2.2708378996921533E-5
2.8270361815E9	0.0
2.8337552775E9	0.0
2.8414872155E9	1.6684044802221643E-5
2.8492191535E9	5.949349309319345E-6
