GC%	Total	Normalized Fraction(PDF)
0.000	72000.0	0.003676
0.007	107400.0	0.005483
0.013	62190.0	0.003175
0.020	71504.0	0.003651
0.027	84455.0	0.004312
0.033	84205.0	0.004299
0.040	86401.0	0.004411
0.047	89167.0	0.004553
0.053	92300.0	0.004713
0.060	97540.0	0.004980
0.067	98867.0	0.005048
0.073	105066.0	0.005364
0.080	106716.0	0.005449
0.087	113710.0	0.005806
0.093	124490.0	0.006356
0.100	131132.0	0.006695
0.107	143093.0	0.007306
0.113	160329.0	0.008186
0.120	176887.0	0.009031
0.127	202908.0	0.010360
0.133	237981.0	0.012150
0.140	291556.0	0.014886
0.147	367495.0	0.018763
0.153	474980.0	0.024251
0.160	626878.0	0.032006
0.167	842907.0	0.043036
0.173	1152089.0	0.058822
0.180	1587250.0	0.081039
0.187	2186989.0	0.111660
0.193	3003923.0	0.153370
0.200	4051951.0	0.206878
0.207	5416152.0	0.276530
0.213	7132563.0	0.364164
0.220	9228742.0	0.471187
0.227	11754708.0	0.600154
0.233	14682977.0	0.749661
0.240	18032105.0	0.920656
0.247	21727736.0	1.109342
0.253	25759988.0	1.315214
0.260	30062360.0	1.534878
0.267	34551113.0	1.764058
0.273	39065921.0	1.994568
0.280	43625895.0	2.227384
0.287	48040483.0	2.452778
0.293	52318987.0	2.671223
0.300	56387253.0	2.878934
0.307	60227090.0	3.074983
0.313	63852581.0	3.260088
0.320	67147906.0	3.428335
0.327	70139452.0	3.581073
0.333	72991038.0	3.726665
0.340	75707383.0	3.865352
0.347	78232268.0	3.994264
0.353	80512193.0	4.110669
0.360	82453750.0	4.209798
0.367	83729152.0	4.274915
0.373	84150444.0	4.296425
0.380	83563732.0	4.266469
0.387	82285727.0	4.201219
0.393	80121309.0	4.090712
0.400	77318668.0	3.947619
0.407	74133478.0	3.784994
0.413	70756747.0	3.612590
0.420	67251671.0	3.433633
0.427	63878419.0	3.261407
0.433	61014563.0	3.115188
0.440	58651405.0	2.994534
0.447	56687362.0	2.894257
0.453	54972684.0	2.806711
0.460	53526721.0	2.732886
0.467	52305532.0	2.670536
0.473	51385099.0	2.623542
0.480	50676613.0	2.587369
0.487	50129379.0	2.559429
0.493	49590712.0	2.531927
0.500	48797943.0	2.491451
0.507	47563458.0	2.428422
0.513	45691668.0	2.332855
0.520	43084175.0	2.199726
0.527	39842548.0	2.034220
0.533	36178587.0	1.847151
0.540	32398154.0	1.654136
0.547	28703278.0	1.465488
0.553	25308652.0	1.292171
0.560	22269427.0	1.136998
0.567	19608551.0	1.001143
0.573	17294541.0	0.882998
0.580	15258678.0	0.779054
0.587	13539290.0	0.691268
0.593	12083666.0	0.616949
0.600	10841406.0	0.553524
0.607	9752901.0	0.497949
0.613	8788262.0	0.448698
0.620	7927949.0	0.404773
0.627	7143082.0	0.364701
0.633	6401548.0	0.326840
0.640	5708327.0	0.291447
0.647	5074978.0	0.259110
0.653	4489483.0	0.229217
0.660	3945384.0	0.201437
0.667	3447235.0	0.176004
0.673	3004068.0	0.153377
0.680	2602533.0	0.132876
0.687	2254923.0	0.115128
0.693	1961539.0	0.100149
0.700	1709214.0	0.087266
0.707	1488965.0	0.076021
0.713	1305277.0	0.066643
0.720	1144003.0	0.058409
0.727	1005050.0	0.051314
0.733	892312.0	0.045558
0.740	794749.0	0.040577
0.747	715493.0	0.036531
0.753	649673.0	0.033170
0.760	592623.0	0.030257
0.767	550858.0	0.028125
0.773	514528.0	0.026270
0.780	479107.0	0.024462
0.787	445819.0	0.022762
0.793	415649.0	0.021222
0.800	377057.0	0.019251
0.807	328262.0	0.016760
0.813	276870.0	0.014136
0.820	230684.0	0.011778
0.827	189386.0	0.009669
0.833	154384.0	0.007882
0.840	121557.0	0.006206
0.847	95369.0	0.004869
0.853	71675.0	0.003659
0.860	53252.0	0.002719
0.867	40519.0	0.002069
0.873	28428.0	0.001451
0.880	21174.0	0.001081
0.887	14814.0	0.000756
0.893	11134.0	0.000568
0.900	7525.0	0.000384
0.907	5256.0	0.000268
0.913	3726.0	0.000190
0.920	2404.0	0.000123
0.927	1613.0	0.000082
0.933	1097.0	0.000056
0.940	719.0	0.000037
0.947	432.0	0.000022
0.953	211.0	0.000011
0.960	275.0	0.000014
0.967	318.0	0.000016
0.973	220.0	0.000011
0.980	89.0	0.000005
0.987	60.0	0.000003
0.993	55.0	0.000003
1.000	680.0	0.000035
