GC%	Total	Normalized Fraction(PDF)
0.000	0.0	0.000000
0.007	0.0	0.000000
0.013	0.0	0.000000
0.020	0.0	0.000000
0.027	0.0	0.000000
0.033	0.0	0.000000
0.040	0.0	0.000000
0.047	0.0	0.000000
0.053	0.0	0.000000
0.060	0.0	0.000000
0.067	0.0	0.000000
0.073	0.0	0.000000
0.080	0.0	0.000000
0.087	0.0	0.000000
0.093	0.0	0.000000
0.100	0.0	0.000000
0.107	0.0	0.000000
0.113	0.0	0.000000
0.120	0.0	0.000000
0.127	0.0	0.000000
0.133	0.0	0.000000
0.140	0.0	0.000000
0.147	0.0	0.000000
0.153	0.0	0.000000
0.160	0.0	0.000000
0.167	0.0	0.000000
0.173	0.0	0.000000
0.180	0.0	0.000000
0.187	0.0	0.000000
0.193	0.0	0.000000
0.200	0.0	0.000000
0.207	1.0	0.176056
0.213	0.0	0.000000
0.220	1.0	0.176056
0.227	0.0	0.000000
0.233	1.0	0.176056
0.240	2.0	0.352113
0.247	2.0	0.352113
0.253	3.0	0.528169
0.260	1.0	0.176056
0.267	4.0	0.704225
0.273	6.0	1.056338
0.280	4.0	0.704225
0.287	6.0	1.056338
0.293	7.0	1.232394
0.300	7.0	1.232394
0.307	14.0	2.464789
0.313	7.0	1.232394
0.320	10.0	1.760563
0.327	16.0	2.816901
0.333	20.0	3.521127
0.340	12.0	2.112676
0.347	17.0	2.992958
0.353	22.0	3.873239
0.360	19.0	3.345070
0.367	17.0	2.992958
0.373	21.0	3.697183
0.380	28.0	4.929577
0.387	21.0	3.697183
0.393	31.0	5.457746
0.400	17.0	2.992958
0.407	25.0	4.401408
0.413	22.0	3.873239
0.420	30.0	5.281690
0.427	29.0	5.105634
0.433	27.0	4.753521
0.440	24.0	4.225352
0.447	31.0	5.457746
0.453	20.0	3.521127
0.460	26.0	4.577465
0.467	24.0	4.225352
0.473	18.0	3.169014
0.480	16.0	2.816901
0.487	20.0	3.521127
0.493	19.0	3.345070
0.500	13.0	2.288732
0.507	15.0	2.640845
0.513	25.0	4.401408
0.520	13.0	2.288732
0.527	20.0	3.521127
0.533	11.0	1.936620
0.540	13.0	2.288732
0.547	8.0	1.408451
0.553	10.0	1.760563
0.560	5.0	0.880282
0.567	7.0	1.232394
0.573	5.0	0.880282
0.580	3.0	0.528169
0.587	6.0	1.056338
0.593	6.0	1.056338
0.600	4.0	0.704225
0.607	2.0	0.352113
0.613	8.0	1.408451
0.620	7.0	1.232394
0.627	4.0	0.704225
0.633	1.0	0.176056
0.640	0.0	0.000000
0.647	2.0	0.352113
0.653	3.0	0.528169
0.660	0.0	0.000000
0.667	3.0	0.528169
0.673	1.0	0.176056
0.680	2.0	0.352113
0.687	0.0	0.000000
0.693	1.0	0.176056
0.700	1.0	0.176056
0.707	0.0	0.000000
0.713	2.0	0.352113
0.720	0.0	0.000000
0.727	0.0	0.000000
0.733	0.0	0.000000
0.740	1.0	0.176056
0.747	0.0	0.000000
0.753	0.0	0.000000
0.760	0.0	0.000000
0.767	0.0	0.000000
0.773	1.0	0.176056
0.780	0.0	0.000000
0.787	1.0	0.176056
0.793	0.0	0.000000
0.800	0.0	0.000000
0.807	0.0	0.000000
0.813	0.0	0.000000
0.820	0.0	0.000000
0.827	0.0	0.000000
0.833	0.0	0.000000
0.840	0.0	0.000000
0.847	0.0	0.000000
0.853	0.0	0.000000
0.860	0.0	0.000000
0.867	0.0	0.000000
0.873	0.0	0.000000
0.880	0.0	0.000000
0.887	0.0	0.000000
0.893	0.0	0.000000
0.900	0.0	0.000000
0.907	0.0	0.000000
0.913	0.0	0.000000
0.920	0.0	0.000000
0.927	0.0	0.000000
0.933	0.0	0.000000
0.940	0.0	0.000000
0.947	0.0	0.000000
0.953	0.0	0.000000
0.960	0.0	0.000000
0.967	0.0	0.000000
0.973	0.0	0.000000
0.980	0.0	0.000000
0.987	0.0	0.000000
0.993	0.0	0.000000
1.000	0.0	0.000000
