#Insert size (bp)	insert size
64.0	1.0
72.0	1.0
75.0	1.0
77.0	1.0
80.0	1.0
81.0	1.0
84.0	1.0
87.0	1.0
94.0	1.0
96.0	1.0
98.0	1.0
99.0	1.0
105.0	2.0
109.0	2.0
110.0	1.0
111.0	3.0
112.0	1.0
118.0	3.0
120.0	1.0
121.0	2.0
122.0	1.0
124.0	1.0
125.0	1.0
126.0	2.0
129.0	2.0
132.0	2.0
134.0	1.0
135.0	3.0
139.0	2.0
140.0	1.0
141.0	1.0
142.0	2.0
145.0	2.0
146.0	2.0
148.0	1.0
149.0	4.0
151.0	1.0
152.0	1.0
154.0	1.0
158.0	1.0
160.0	2.0
162.0	1.0
163.0	2.0
164.0	1.0
165.0	2.0
167.0	2.0
168.0	1.0
169.0	1.0
171.0	1.0
174.0	1.0
175.0	2.0
177.0	2.0
180.0	2.0
181.0	1.0
182.0	1.0
183.0	3.0
185.0	1.0
186.0	2.0
187.0	1.0
188.0	1.0
191.0	3.0
192.0	3.0
193.0	2.0
194.0	2.0
195.0	1.0
196.0	1.0
197.0	1.0
199.0	1.0
200.0	2.0
201.0	1.0
202.0	1.0
203.0	1.0
204.0	3.0
205.0	1.0
206.0	1.0
208.0	1.0
210.0	3.0
211.0	5.0
213.0	1.0
214.0	3.0
215.0	2.0
216.0	2.0
217.0	1.0
218.0	2.0
219.0	1.0
220.0	2.0
221.0	1.0
223.0	1.0
228.0	3.0
229.0	2.0
230.0	1.0
231.0	1.0
232.0	1.0
233.0	2.0
234.0	1.0
236.0	2.0
237.0	1.0
238.0	2.0
240.0	4.0
244.0	3.0
245.0	1.0
246.0	1.0
247.0	2.0
250.0	2.0
252.0	5.0
253.0	1.0
255.0	1.0
256.0	1.0
260.0	1.0
263.0	3.0
264.0	2.0
267.0	1.0
269.0	3.0
270.0	1.0
271.0	2.0
273.0	2.0
274.0	2.0
275.0	2.0
276.0	2.0
277.0	3.0
280.0	2.0
281.0	2.0
283.0	1.0
284.0	2.0
285.0	2.0
286.0	1.0
288.0	2.0
290.0	2.0
291.0	1.0
294.0	3.0
295.0	1.0
296.0	1.0
305.0	1.0
306.0	1.0
307.0	1.0
308.0	1.0
309.0	1.0
310.0	2.0
315.0	1.0
316.0	1.0
318.0	1.0
319.0	1.0
324.0	1.0
325.0	1.0
326.0	1.0
327.0	3.0
328.0	1.0
331.0	1.0
332.0	2.0
337.0	1.0
338.0	1.0
340.0	1.0
342.0	1.0
345.0	1.0
346.0	1.0
350.0	1.0
353.0	1.0
357.0	1.0
360.0	1.0
365.0	1.0
366.0	1.0
367.0	1.0
372.0	1.0
377.0	1.0
387.0	1.0
389.0	2.0
392.0	1.0
393.0	1.0
398.0	1.0
399.0	1.0
400.0	1.0
403.0	1.0
408.0	1.0
411.0	1.0
415.0	1.0
421.0	1.0
427.0	1.0
429.0	1.0
430.0	2.0
434.0	1.0
440.0	1.0
441.0	1.0
448.0	1.0
449.0	1.0
461.0	1.0
470.0	1.0
481.0	1.0
485.0	1.0
501.0	1.0
525.0	1.0
539.0	1.0
547.0	1.0
566.0	1.0
568.0	1.0
581.0	1.0
588.0	1.0
605.0	1.0
606.0	1.0
609.0	1.0
633.0	1.0
634.0	1.0
645.0	1.0
674.0	1.0
681.0	1.0
685.0	1.0
703.0	1.0
722.0	1.0
728.0	1.0
769.0	1.0
774.0	1.0
777.0	1.0
831.0	1.0
842.0	1.0
869.0	1.0
881.0	1.0
890.0	1.0
904.0	1.0
914.0	1.0
928.0	1.0
961.0	1.0
971.0	1.0
984.0	1.0
987.0	1.0
992.0	1.0
1010.0	1.0
1012.0	1.0
1022.0	1.0
1025.0	1.0
1079.0	1.0
1100.0	1.0
1106.0	1.0
1116.0	1.0
1153.0	1.0
1161.0	1.0
1211.0	1.0
1212.0	1.0
1281.0	1.0
1335.0	1.0
1353.0	1.0
1355.0	1.0
1394.0	1.0
1406.0	1.0
1423.0	1.0
1463.0	1.0
1467.0	1.0
1476.0	1.0
1496.0	1.0
1530.0	1.0
1608.0	1.0
1648.0	1.0
1658.0	1.0
1709.0	1.0
1733.0	1.0
1786.0	1.0
1797.0	1.0
1829.0	1.0
1868.0	1.0
1886.0	1.0
1887.0	1.0
1905.0	1.0
1945.0	1.0
1968.0	1.0
1984.0	1.0
2013.0	1.0
2014.0	1.0
2023.0	1.0
2026.0	1.0
2031.0	1.0
2057.0	1.0
2072.0	1.0
2090.0	1.0
2146.0	1.0
2160.0	1.0
2270.0	1.0
2273.0	1.0
2274.0	1.0
2304.0	1.0
2354.0	1.0
2356.0	1.0
2369.0	1.0
2394.0	1.0
2417.0	1.0
2473.0	1.0
2494.0	1.0
2495.0	1.0
2559.0	1.0
2564.0	1.0
2581.0	1.0
2595.0	1.0
2622.0	1.0
2680.0	1.0
2697.0	1.0
2789.0	1.0
2798.0	1.0
2799.0	1.0
2801.0	1.0
2829.0	1.0
2881.0	1.0
2895.0	1.0
2935.0	1.0
2938.0	1.0
3051.0	1.0
3217.0	1.0
3219.0	1.0
3305.0	1.0
3537.0	1.0
3545.0	1.0
3549.0	1.0
3559.0	1.0
3598.0	1.0
3706.0	1.0
3769.0	1.0
4021.0	1.0
4024.0	2.0
4055.0	1.0
