#Position (bp)	Coverage
3865969.5	7.721220734051411E-5
1.15979075E7	5.139720468529365E-4
1.93298455E7	5.016853471923857E-4
2.70617835E7	1.2933368063737708E-5
3.47937215E7	4.446491940313024E-4
4.25256595E7	1.1756431569937575E-4
5.02575975E7	0.005944434629455125
5.79895355E7	1.2933368063737708E-5
6.57214735E7	1.2933368063737708E-5
7.34534115E7	0.0
8.11853495E7	0.0
8.89172875E7	3.867077051057575E-5
9.66492255E7	6.919351914099674E-5
1.043811635E8	0.0
1.121131015E8	0.0012643660619109983
1.198450395E8	2.5737402446838036E-5
1.275769775E8	0.0
1.353089155E8	0.0
1.430408535E8	1.2545367021825576E-5
1.507727915E8	0.0010117773836262008
1.585047295E8	4.877173096835489E-4
1.662366675E8	0.0013861983890714074
1.739686055E8	0.0020429548193480083
1.817005435E8	1.5157907370700593E-4
1.894324815E8	0.0
1.971644195E8	0.0
2.048963575E8	2.5866736127475415E-5
2.126282955E8	1.2933368063737708E-5
2.203602335E8	3.175141859647607E-4
2.280921715E8	9.081811054356618E-4
2.358241095E8	0.0
2.435560475E8	3.867077051057575E-5
2.481892195E8	6.452008138654307E-5
2.520551885E8	0.0
2.590199235E8	3.841210314930099E-5
2.667518615E8	2.5349401404925907E-5
2.744837995E8	5.160413857431345E-5
2.822157375E8	0.001178229830606505
2.899476755E8	0.0
2.976796135E8	0.0
3.054115515E8	3.841210314930099E-5
3.131434895E8	0.0
3.208754275E8	6.453750663805116E-5
3.286073655E8	0.0
3.363393035E8	0.002047352164489679
3.440712415E8	1.2933368063737708E-5
3.518031795E8	2.2633394111540988E-5
3.595351175E8	0.0
3.672670555E8	0.0
3.749989935E8	0.0
3.827309315E8	1.2933368063737708E-5
3.904628695E8	0.0
3.981948075E8	0.0
4.059267455E8	0.0
4.136586835E8	3.169968512422112E-4
4.213906215E8	0.0
4.291225595E8	0.0
4.368544975E8	0.0
4.445864355E8	1.2933368063737708E-5
4.523183735E8	0.0017647580722970101
4.600503115E8	0.0
4.677822495E8	3.092368304039686E-4
4.755141875E8	0.0019253905036486325
4.832461255E8	3.8153435788026235E-5
4.89131023E8	0.0
4.92996992E8	0.0
4.987100015E8	0.001550969498203426
5.064419395E8	2.418539827918951E-5
5.141738775E8	1.2933368063737708E-5
5.219058155E8	0.0
5.296377535E8	8.129915164865523E-4
5.373696915E8	3.880010419121312E-5
5.451016295E8	5.664815211917116E-5
5.528335675E8	0.0
5.605655055E8	0.0
5.682974435E8	0.0
5.760293815E8	0.0
5.837613195E8	0.0
5.914932575E8	0.0
5.992251955E8	1.280403438310033E-5
6.069571335E8	1.923191831077797E-4
6.146890715E8	0.0
6.224210095E8	1.456297243976866E-4
6.301529475E8	5.558761593794467E-4
6.378848855E8	2.5737402446838036E-5
6.456168235E8	1.2933368063737708E-5
6.533487615E8	0.0
6.610806995E8	2.5866736127475415E-5
6.688126375E8	1.280403438310033E-5
6.765445755E8	9.595265766487005E-4
6.842765135E8	1.7240179628962363E-4
6.887939965E8	0.0021419340183019856
6.926599655E8	3.079837795209452E-5
6.997403895E8	0.0014402598675778311
7.074723275E8	0.0
7.152042655E8	0.0
7.229362035E8	0.0
7.306681415E8	8.393755873365772E-5
7.384000795E8	1.280403438310033E-5
7.461320175E8	0.0
7.538639555E8	0.0
7.615958935E8	0.0
7.693278315E8	2.5866736127475415E-5
7.770597695E8	1.2933368063737708E-5
7.847917075E8	0.0
7.925236455E8	3.880010419121312E-5
8.002555835E8	1.2933368063737708E-5
8.079875215E8	1.2933368063737708E-5
8.157194595E8	2.5478735085563283E-5
8.234513975E8	0.0
8.311833355E8	0.0
8.389152735E8	0.0
8.466472115E8	0.0
8.543791495E8	0.0
8.621110875E8	0.0
8.698430255E8	0.0
8.7668453E8	0.0
8.80550499E8	1.1230484926723893E-4
