Instrument	bases	rel_bases
HiSeq X Ten	4.83303930162e+15	0.395121249314
Illumina HiSeq 2000	4.35028046844e+15	0.355653688349
Illumina HiSeq 2500	1.18736008346e+15	0.0970716706989
Complete Genomics	8.75152632344e+14	0.0715474010973
Illumina Genome Analyzer II	3.28656296391e+14	0.026869031746
Illumina Genome Analyzer IIx	1.44514578666e+14	0.0118146733976
NextSeq 500	8.96221311443e+13	0.00732698540482
Illumina MiSeq	8.62679145531e+13	0.00705276411936
AB SOLiD 4 System	4.85835954946e+13	0.00397191285855
Illumina HiSeq 4000	4.40754735931e+13	0.00360335497052
Illumina HiSeq 1000	3.68523424891e+13	0.00301283368409
Illumina Genome Analyzer	3.2367761369e+13	0.00264620035374
unspecified	3.19993131078e+13	0.00261607816185
Illumina HiSeq 1500	2.29069532303e+13	0.0018727395772
PacBio RS	1.61664765787e+13	0.00132167731817
AB SOLiD System 3.0	1.54634447576e+13	0.00126420151586
PacBio RS II	1.35169144191e+13	0.00110506449024
AB 5500xl Genetic Analyzer	1.2991366105e+13	0.0010620987096
Illumina HiSeq 3000	1.08532435096e+13	0.000887298212782
Ion Torrent Proton	9.18614912816e+12	0.000751006249563
NextSeq 550	7.27743823893e+12	0.000594961122664
Illumina HiScanSQ	6.30363432139e+12	0.000515348564918
454 GS FLX Titanium	5.86198353801e+12	0.000479241759574
AB SOLiD System 2.0	3.74156974345e+12	0.000305889031552
AB 5500 Genetic Analyzer	3.70015698428e+12	0.000302503364663
Helicos HeliScope	3.42502596688e+12	0.000280010249143
Ion Torrent PGM	2.95088936507e+12	0.000241247591784
AB SOLiD System	1.92028747516e+12	0.000156991561391
454 GS FLX	1.91128827874e+12	0.000156255839311
AB 5500xl-W Genetic Analysis System	1.36028740691e+12	0.000111209205244
AB SOLiD 3 Plus System	1.01726546847e+12	8.31657219614e-05
BGISEQ-500	6.5053972965e+11	5.31843535023e-05
HiSeq X Five	6.00397750078e+11	4.90850362041e-05
454 GS FLX+	5.95018394025e+11	4.86452512673e-05
454 GS	1.6041960139e+11	1.31149757657e-05
454 GS Junior	1.02712158147e+11	8.39715005694e-06
AB SOLiD 4hq System	87680608227.0	7.1682577569e-06
MinION	77995927375.0	6.37649444636e-06
Illumina MiniSeq	65395574179.0	5.34636268332e-06
454 GS 20	51633988051.0	4.22129525389e-06
AB SOLiD PI System	46993823355.0	3.84194231316e-06
AB 3730xL Genetic Analyzer	14385987678.0	1.17611487704e-06
AB 310 Genetic Analyzer	5457704856.0	4.46190280382e-07
Illumina Genome Analyzer IIx 	1521787288.0	1.24412498409e-07
AB 3500xL Genetic Analyzer	1154032159.0	9.43469729823e-08
Illumina MiSeq 	104689508.0	8.55880670723e-09
AB 3130xL Genetic Analyzer	76035391.0	6.21621236846e-09
AB 3730 Genetic Analyzer	74164474.0	6.06325705064e-09
454 GS FLX 	33393515.0	2.73006001862e-09
AB 3500 Genetic Analyzer	68752.0	5.62076458259e-12
AB 3130 Genetic Analyzer	10004.0	8.17868991219e-13
