Organism Name	bases	rel_bases
Homo sapiens	9.34414581659e+15	0.764323248499
Mus musculus	5.51674835085e+14	0.0451253555268
marine metagenome	6.38311047943e+13	0.00522119392498
Arabidopsis thaliana	6.25475997438e+13	0.00511620704133
Bos taurus	5.52698303579e+13	0.00452090721959
Drosophila melanogaster	5.39895606962e+13	0.00441618498109
Oryza sativa	5.15408698542e+13	0.00421588937616
human gut metagenome	4.90802448704e+13	0.00401461759403
Anopheles gambiae	4.58996126546e+13	0.00375445136855
Danio rerio	4.16868497262e+13	0.00340985993025
Canis lupus familiaris	3.99405347954e+13	0.00326701657924
Zea mays	3.67303415648e+13	0.00300443235095
Macaca mulatta	3.39684232932e+13	0.00277851567682
human metagenome	3.06598908879e+13	0.00250788759744
Sus scrofa	2.88640980892e+13	0.00236099710445
Saccharomyces cerevisiae	2.87808846054e+13	0.00235419048975
Populus trichocarpa	2.84003333803e+13	0.00232306253496
Triticum aestivum	2.80838409266e+13	0.00229717439654
soil metagenome	2.76723755555e+13	0.00226351775683
Plasmodium falciparum	2.53882811873e+13	0.00207668565236
Rattus norvegicus	2.46836757359e+13	0.0020190510287
Escherichia coli	2.34597483272e+13	0.0019189374184
Ovis aries	2.04578053368e+13	0.00167338743842
Panicum virgatum	1.99201419902e+13	0.00162940818084
Streptococcus pneumoniae	1.98985031304e+13	0.00162763818667
Caenorhabditis elegans	1.89095492299e+13	0.00154674470826
Glycine max	1.88803284761e+13	0.00154435453778
Oryza sativa Japonica Group	1.81473676049e+13	0.0014844005254
Gallus gallus	1.77272535057e+13	0.00145003644553
Chlorocebus sabaeus	1.76456334494e+13	0.00144336016845
Sorghum bicolor	1.72025407661e+13	0.00140711650897
Salmonella enterica	1.68984233132e+13	0.0013822406087
Staphylococcus aureus	1.55899157038e+13	0.00127520859032
Gossypium hirsutum	1.44421084222e+13	0.0011813213793
Equus caballus	1.41371254372e+13	0.00115637468108
Mycobacterium tuberculosis	1.26402632401e+13	0.00103393581941
Capra hircus	1.12345852365e+13	0.000918955552713
Hordeum vulgare subsp. vulgare	1.01976815804e+13	0.000834139927364
Setaria viridis	9.87365101185e+12	0.000807635193634
