Submitter	bases	rel_bases
University of Washington Genome Sciences	2.00739751503e+15	0.168711462018
Broad Institute	1.92141796301e+15	0.161485321796
BI	1.15375379764e+15	0.0969670872621
GEO	9.25124986745e+14	0.0777520087052
CompleteGenomics	7.87236499036e+14	0.0661631887616
WUGSC	5.33964563226e+14	0.0448769819895
NYGC	3.9649193274e+14	0.0333231127119
BCM	3.67008718765e+14	0.0308451998434
JGI	2.57185378268e+14	0.0216151115325
SC	2.25148152682e+14	0.0189225470916
BGI	2.13550297336e+14	0.0179478068535
BCCAGSC	1.62634240372e+14	0.0136685734948
NCBI	1.11233032063e+14	0.00934856565457
The Wellcome Trust Sanger Institute	9.74323430457e+13	0.00818868854825
TGEN	6.57605117919e+13	0.00552683362633
HAGSC	6.48713343837e+13	0.00545210282717
UM-SPH	6.26360393753e+13	0.00526423775008
WELLCOME TRUST SANGER INSTITUTE	5.31939902277e+13	0.00447068196244
HARVARD MEDICAL SCHOOL, DEPARTMENT OF GENETICS	5.11457483368e+13	0.00429853774019
nci-phs000720	4.92915050254e+13	0.00414269810321
PCGC	4.61115674515e+13	0.00387544066507
UWGS-NWGC	4.40826756384e+13	0.00370492271757
NCBI-TEST	3.42999159289e+13	0.00288273195525
Beijing Genome Institute	3.18620846588e+13	0.0026778447445
STJUDE	3.17850562956e+13	0.00267137090577
GSC	2.79598262551e+13	0.00234987994653
Stanford University	2.53210192754e+13	0.0021281017585
CIDR	2.46582944157e+13	0.00207240313421
UMIGS	2.42817430946e+13	0.0020407559276
Beijing Genomics Institute, Shenzhen	2.34752764442e+13	0.00197297654327
Weill Cornell	2.21966989404e+13	0.00186551866393
Duke University-phs000682	1.75506675472e+13	0.00147504356218
CFSAN	1.71870941192e+13	0.0014444870809
Genome Research Foundation	1.71344694378e+13	0.00144006424642
NISC	1.47336937355e+13	0.00123829136603
tgen-phs000749	1.47035119798e+13	0.00123575474431
UCSD	1.3972322486e+13	0.00117430201879
UALG	1.38296442851e+13	0.00116231064802
NIG	1.37981530741e+13	0.0011596639733
BCG-DANVERS	1.36323466068e+13	0.00114572879041
UCLA	1.24716084687e+13	0.00104817470517
Genoscope	1.22209608734e+13	0.00102710906075
BWH	1.2196794595e+13	0.00102507800904
